id;calories;proteins;fat;carbohydrate;name;composition
1;280.0;9.2;28.4;0.0;Abon ;daging sapi
2;513.0;23.7;37.0;21.3;Abon haruwan;Ikan
3;0.0;0.0;0.2;0.0;Agar-agar;sayuran
4;45.0;1.1;0.4;10.8;Akar tonjong segar;sayuran
5;37.0;4.4;0.5;3.8;Aletoge segar;Kacang
6;85.0;0.9;6.5;7.7;Alpukat segar;sayuran
7;96.0;3.7;0.6;19.1;Ampas kacang hijau;Kacang
8;414.0;26.6;18.3;41.3;Ampas Tahu;Kedelai
9;75.0;4.1;2.1;10.7;Ampas tahu kukus;Kedelai
10;67.0;5.0;2.1;8.1;Ampas tahu mentah;Kedelai
11;184.0;18.8;14.0;0.0;Anak sapi daging gemuk segar;daging sapi
12;174.0;19.6;10.0;0.0;Anak sapi daging kurus segar;daging sapi
13;190.0;19.1;12.0;0.0;Anak sapi daging sedang segar;daging sapi
14;99.0;4.6;1.0;18.0;Andaliman segar;sayuran
15;25.0;1.6;0.2;5.3;Andewi;sayuran
16;30.0;0.5;0.2;6.8;Anggur hutan segar;sayuran
17;354.0;16.4;31.5;0.0;Angsa;daging ayam
18;126.0;3.4;7.9;10.3;Anyang sayur;sayuran
19;58.0;0.3;0.4;14.9;Apel;sayuran
20;57.0;0.5;0.4;12.8;Apel malang segar;sayuran
21;37.0;0.8;0.5;8.3;Arbei;sayuran
22;113.0;0.9;7.2;11.2;Ares sayur;sayuran
23;102.0;1.0;0.2;24.1;Arrowroot segar;sayuran
24;277.0;2.4;25.0;10.7;Arwan sirsir;Ikan
25;75.0;0.2;1.1;16.1;Asam kandis segar;sayuran
26;239.0;2.8;0.6;62.5;Asam masak di pohon;sayuran
27;135.0;0.8;0.4;32.1;Asam payak segar;sayuran
28;261.0;0.9;1.6;63.3;Asan kandis kering;sayuran
29;98.0;3.9;2.6;14.8;Asinan Bogor sayuran;sayuran
30;302.0;18.2;25.0;0.0;Ayam;daging ayam
31;297.0;35.9;15.2;1.6;Ayam  goreng Kentuckysayap;daging ayam, Gandum
32;270.0;32.3;11.2;9.9;Ayam ampela goreng;daging ayam
33;295.0;34.0;16.0;1.5;Ayam goreng church texa sayap;daging ayam, Gandum
34;338.0;35.2;20.6;0.4;Ayam goreng church texas dada;daging ayam, Gandum
35;275.0;37.4;12.2;1.3;Ayam goreng kalasan paha;daging ayam
36;298.0;34.2;16.8;0.1;Ayam goreng kentucky dada;daging ayam, Gandum
37;286.0;32.1;16.1;1.1;Ayam goreng Kentucky paha;daging ayam, Gandum
38;295.0;39.2;13.6;1.0;Ayam goreng mbok berek dada;daging ayam
39;287.0;31.0;15.7;1.7;Ayam goreng paha;daging ayam
40;246.0;37.9;9.0;0.7;Ayam goreng pasundan dada;daging ayam
41;245.0;33.1;11.4;0.3;Ayam goreng pasundan paha;daging ayam
42;295.0;37.4;14.7;0.6;Ayam goreng pioneer dada;daging ayam, Gandum
43;244.0;36.7;9.2;1.0;Ayam goreng sukabumi dada;daging ayam
44;283.0;35.7;14.3;0.5;Ayam goreng sukabumi paha;daging ayam
45;261.0;27.4;16.1;1.6;Ayam hati segar;daging ayam
46;264.0;18.2;20.1;2.7;Ayam taliwang masakan;daging ayam
47;473.0;45.2;26.3;13.9;Ayam usus goreng;daging ayam
48;113.0;17.6;4.2;0.0;Babat;daging sapi
49;453.0;11.9;45.0;0.0;Babi daging gemuk segar;daging babi
50;371.0;14.1;35.0;0.0;Babi daging kurus segar;daging babi
51;110.0;16.3;4.6;0.8;Babi ginjal segar;daging babi
52;129.0;19.7;4.8;1.7;Babi hati segar;daging babi
53;491.0;24.6;16.3;0.2;Babi hutan masak rica masakan;daging babi
54;102.9;3.3;2.7;16.3;Bacang;sayuran
55;450.0;3.2;13.9;78.1;Bagea kelapa asin;sayuran
56;452.0;1.3;13.8;80.6;Bagea kelapa manis;sayuran
57;529.0;3.2;29.1;63.6;Bagea kenari asin;sayuran
58;523.0;3.2;28.2;64.2;Bagea kenari manis;sayuran
59;416.0;6.5;9.4;76.3;Bagea kw 1;sayuran
60;382.0;0.3;3.5;87.2;Bagea kw 2;sayuran
61;129.0;1.9;6.6;15.6;Baje;sayuran
62;272.0;8.7;6.7;44.1;Bakpia kue;Gandum
63;76.0;4.1;2.5;9.2;Bakso ;daging sapi, Gandum
64;27.0;2.0;0.2;4.2;Bakung segar;sayuran
65;280.0;8.2;10.2;39.0;Bakwan;Gandum
66;13.0;0.4;0.2;3.0;Baligo;sayuran
67;190.0;3.3;0.3;43.5;Bantal;sayuran
68;159.0;3.1;5.8;23.5;Barongko;sayuran
69;137.0;4.3;4.8;19.1;Batang Tading;sayuran
70;107.0;2.2;2.2;19.6;Batar daan;sayuran
71;76.0;1.1;0.9;16.0;Batatas gembili segar;sayuran
72;110.0;1.4;1.1;23.4;Batatas kelapa ubi bakar;sayuran
73;92.0;1.2;0.3;21.0;Batatas kelapa ubi kukus;sayuran
74;89.0;1.1;0.1;21.0;Batatas kelapa ubi segar;sayuran
75;182.0;2.4;0.4;42.2;Batatas tali ubi rebus;sayuran
76;45.0;1.4;0.2;10.3;Bawang Bombay;sayuran
77;39.0;1.5;0.3;0.2;Bawang Merah;sayuran
78;95.0;4.5;0.2;23.1;Bawang Putih;sayuran
79;30.0;1.3;0.7;5.8;Bayam kukus;sayuran
80;51.0;4.6;0.5;10.0;Bayam Merah;sayuran
81;41.0;2.2;0.8;6.3;Bayam merah segar;sayuran
82;23.0;1.2;0.6;3.7;Bayam rebus;sayuran
83;36.0;3.5;0.5;6.5;Bayam segar;sayuran
84;102.0;3.7;6.7;6.9;Bayam tumis + oncom;sayuran
85;48.0;1.4;4.2;2.6;Bayam tumis bersantan;sayuran
86;326.0;16.0;28.6;0.0;Bebek (itik);daging ayam
87;303.0;11.3;27.0;3.7;Bebek alabio daging segar;daging ayam
88;300.0;24.0;20.7;4.5;Bebek daging goreng;daging ayam
89;65.0;1.1;5.2;3.5;Beberuk;sayuran
90;258.0;10.6;9.5;32.5;Beef burger;daging sapi, Gandum
91;151.0;8.6;3.1;22.3;Beef teriyaki masakan;daging sapi
92;132.0;9.8;1.1;20.7;Beef yakiniku masakan;daging sapi
93;116.0;11.9;4.9;6.1;Bekasam;Ikan
94;78.0;11.4;2.0;3.6;Bekasang;Ikan
95;131.0;20.2;4.3;2.8;Belibis daging segar;daging ayam
96;36.0;0.4;0.4;8.8;Belimbing;sayuran
97;145.0;1.2;0.4;34.2;Belitung talas kukus;sayuran
98;417.0;25.9;19.4;32.0;Belut goreng;Ikan
99;70.0;14.6;0.8;1.0;Belut segar;Ikan
100;93.0;12.8;1.5;6.1;Belutlaut segar;Ikan
101;55.0;1.4;0.2;12.8;Bengkuang;sayuran
102;98.0;1.6;0.7;20.9;Bentul (Komba)  talas segar;sayuran
103;71.0;2.3;0.3;15.4;Bentul talas kukus;sayuran
104;350.0;2.7;1.1;82.3;Beras Cerdas;sayuran
105;364.0;3.4;0.7;86.3;Beras ganyong;sayuran
106;360.0;6.8;0.7;78.9;Beras Giling;sayuran
107;178.0;2.1;0.1;40.6;Beras Giling masak (nasi) ;sayuran
108;357.0;8.4;1.7;77.1;Beras giling mentah;sayuran
109;369.0;9.5;1.4;77.1;Beras giling var pelita mentah;sayuran
110;357.0;8.4;1.7;77.1;Beras giling var rojolele mentah;sayuran
111;351.0;8.0;1.3;76.9;Beras hitam mentah;sayuran
112;358.0;5.5;0.1;82.7;Beras jagung kuning kering mentah;sayuran
113;307.0;4.8;0.1;71.8;Beras jagung putih kering mentah;sayuran
114;356.0;7.0;0.7;78.0;Beras Ketan Hitam;sayuran
115;181.0;4.0;1.2;37.3;Beras Ketan Hitam kukus;sayuran
116;166.0;3.8;1.0;34.4;Beras Ketan Hitam tape;sayuran
117;360.0;8.0;2.3;74.5;Beras Ketan Hitam tumbuk;sayuran
118;360.0;8.0;2.3;74.5;Beras ketan hitam tumbuk mentah;sayuran
119;362.0;6.7;0.7;79.4;Beras Ketan Putih;sayuran
120;163.0;3.0;0.4;35.7;Beras Ketan Putih kukus;sayuran
121;172.0;3.0;0.5;37.5;Beras Ketan Putih tape;sayuran
122;361.0;7.4;0.8;78.4;Beras Ketan Putih tumbuk;sayuran
123;361.0;7.4;0.8;78.4;Beras ketan putih tumbuk mentah;sayuran
124;376.0;7.5;3.8;78.0;Beras ladang mentah;sayuran
125;339.0;7.7;4.4;73.0;Beras Menir;sayuran
126;362.0;7.7;4.4;73.0;Beras menir mentah;sayuran
