id;calories;proteins;fat;carbohydrate;name;composition;origin
20;57.0;0.5;0.4;12.8;Apel malang segar;sayuran;Jawa Timur
29;98.0;3.9;2.6;14.8;Asinan Bogor sayuran;sayuran;DKI Jakarta
35;275.0;37.4;12.2;1.3;Ayam goreng kalasan paha;daging ayam;DI Yogyakarta
38;295.0;39.2;13.6;1.0;Ayam goreng mbok berek dada;daging ayam;Jawa Tengah
40;246.0;37.9;9.0;0.7;Ayam goreng pasundan dada;daging ayam;Jawa Barat
41;245.0;33.1;11.4;0.3;Ayam goreng pasundan paha;daging ayam;Jawa Barat
43;244.0;36.7;9.2;1.0;Ayam goreng sukabumi dada;daging ayam;Jawa Barat
44;283.0;35.7;14.3;0.5;Ayam goreng sukabumi paha;daging ayam;Jawa Barat
62;272.0;8.7;6.7;44.1;Bakpia kue;Gandum;DI Yogyakarta
63;76.0;4.1;2.5;9.2;Bakso ;daging sapi, Gandum;Jawa Timur
65;280.0;8.2;10.2;39.0;Bakwan;Gandum;Jawa Tengah
84;102.0;3.7;6.7;6.9;Bayam tumis + oncom;sayuran;Jawa Barat
110;357.0;8.4;1.7;77.1;Beras giling var rojolele mentah;sayuran;DI Yogyakarta
137;154.0;3.0;4.5;25.5;Bihun Goreng ;Gandum;DI Yogyakarta
152;119.0;4.4;3.5;18.3;Bongkrek (tempe bungkil);Kedelai;Jawa Tengah
156;249.0;3.4;0.4;58.0;Brem;sayuran;Jawa Timur
158;141.0;15.3;3.3;12.6;Brongkos;daging sapi;Jawa Tengah
174;60.0;1.0;60.0;13.0;Bubur ;sayuran;Jawa Tengah
188;106.0;4.4;6.3;7.9;Buntil ;sayuran;Jawa Barat
189;141.0;4.4;10.2;8.0;Buntil daun talas;sayuran;Jawa Barat
202;97.0;5.8;6.3;4.2;Cap cai sayur;sayuran;Jawa Timur
208;462.0;1.2;20.7;67.7;Ceriping getuk singkong;sayuran;Jawa Barat
215;210.0;1.6;6.6;35.8;Combro ;sayuran;Jawa Barat
237;42.0;1.8;0.5;9.4;Daun Beluntas;sayuran;Jawa Barat
243;62.0;4.2;0.9;9.2;Daun gunda serang segar;sayuran;Banten
253;59.0;4.8;1.0;11.0;Daun Katuk;sayuran;Jawa Barat
254;53.0;5.3;0.9;9.1;Daun katuk rebus;sayuran;Jawa Barat
255;59.0;6.4;1.0;9.9;Daun katuk segar;sayuran;Jawa Barat
271;45.0;4.7;0.5;8.1;Daun Leunca;sayuran;Jawa Barat
276;99.0;5.0;1.3;21.3;Daun Melinjo;sayuran;Jawa Barat
290;37.0;2.5;0.8;6.9;Daun Poh-pohan;sayuran;Jawa Barat
293;45.0;4.4;8.0;0.5;Daun Semanggi;sayuran;Jawa Barat
294;45.0;4.4;0.5;8.5;Daun semanggi segar;sayuran;Jawa Barat
319;433.0;55.0;9.0;0.0;Dendeng Daging Sapi;daging sapi;Jawa Timur
324;395.0;3.0;5.7;81.2;Dodol;sayuran;Jawa Tengah
328;331.0;1.9;7.6;63.8;Dodol kedondong;sayuran;DI Yogyakarta
339;248.0;36.2;6.9;10.1;Empal (daging) Goreng masakan;daging sapi;Jawa Barat
340;590.0;18.5;57.0;0.0;Empal Goreng;daging sapi;Jawa Barat
341;345.0;12.0;1.5;71.5;Emping (kerupuk melinjo);sayuran;Jawa Barat
342;403.0;10.6;2.2;85.3;Emping beras;sayuran;DI Yogyakarta
343;355.0;17.8;4.6;60.7;Emping komak;sayuran;Jawa Timur
345;538.0;13.6;30.3;52.6;Enting-enting gepuk hello kity;sayuran;Jawa Tengah
346;524.0;13.3;29.2;52.0;Enting-enting gepuk kacang tanah;Kacang;Jawa Tengah
347;565.0;18.2;38.4;36.8;Enting-enting wijen;Wijen;Jawa Tengah
351;152.0;0.0;0.0;37.6;Es Mambo ;sayuran;DKI Jakarta
352;44.8;0.0;0.0;11.3;Es Sirup ;sayuran;DKI Jakarta
355;137.0;6.1;3.2;21.0;Gado-gado;sayuran;DKI Jakarta
369;347.0;1.3;0.7;83.8;Gatot;sayuran;Jawa Tengah
370;195.0;0.4;1.7;44.4;Geblek;sayuran;Jawa Tengah
374;274.0;1.7;5.4;55.5;Gemblong;sayuran;Jawa Tengah
375;407.0;6.4;28.2;32.0;Gendar goreng;sayuran;Jawa Tengah
377;350.0;1.4;14.4;53.6;Geplak;sayuran;DI Yogyakarta
378;462.0;3.1;24.4;57.7;Geplak jahe;sayuran;DI Yogyakarta
380;360.0;1.3;6.4;74.3;Getuk goreng;sayuran;Jawa Tengah
381;171.4;4.0;4.0;32.0;Getuk Lindri ;sayuran;Jawa Tengah
